,average,p,otu_id,baseMean,log2FoldChange,pvalue,padj,relative_abund,log2FC_new,rel_abu_new,padj_new
703,0,0.001,611be53215f67bdc86255438a7d473ea,3.60944565357411,2.81644173968167,2.70597975474243e-12,1.94930763813853e-11,0.000124048742015178,2.81644173968167,0.000124048742015178,0.001
704,0,0.015,53258719f8697bd7e40fcdeaa89e8af1,4.08929888624409,1.94756057652009,2.44921798630853e-05,6.8847667352764e-05,0.000113602532161269,1.94756057652009,0.000113602532161269,0.001
705,0,0.001,24990be96e2abfcfd3781fbf4a334b61,4.07336764614394,2.15155084529454,2.17017834251328e-08,9.60156769736628e-08,0.00012274296578344,2.15155084529454,0.00012274296578344,0.001
706,0,0.002,10bb71588aaaec7e9386f2b7a58ad247,3.83126349474528,2.34983588782816,8.57117708985587e-08,3.51821773891243e-07,0.000118825637088223,2.34983588782816,0.000118825637088223,0.001
707,0,0.001,c417631ccd0c620017e232f3b5e17082,3.53367304247292,2.7807002920752,6.2039681741404e-11,3.73938820698785e-10,0.00012274296578344,2.7807002920752,0.00012274296578344,0.001
708,0,0.858,693cc19b46da51e5c5f549f75e76c288,7.25575392990296,0.178018888931362,0.66291463786243,0.69551023312662,0.000105767874770836,0.178018888931362,0.000105767874770836,1
709,0,0.006,56e420a382b2265fabddef043c172044,3.79004937772083,2.29121816839592,4.64380941589908e-07,1.72042082169975e-06,0.000117519860856485,2.29121816839592,0.000117519860856485,0.001
710,0,0.782,db31dac0dd2cf0e1036cb416cf0e6be9,2.93086437878124,0.0385985218388581,0.938244555498297,0.945159903815715,2.61155246347744e-05,0.0385985218388581,2.61155246347744e-05,1
711,0,0.002,dee394c679cf9f999ef1423753ccd346,3.90907384946352,2.20195974173068,3.08231175160521e-07,1.16758430920356e-06,0.000117519860856485,2.20195974173068,0.000117519860856485,0.001
712,0,0.001,c44e453fc2562b268e97dcda50f84d58,3.52273611766751,2.77309622550651,1.13893340727924e-10,6.6971933030362e-10,0.000121437189551701,2.77309622550651,0.000121437189551701,0.001
