"","b3_RZ_1a","b3_RZ_1c","b3_RZ_2a","b3_RZ_2c","b3_RZ_3b","b3_RZ_3c","b4_RZ_1a","b4_RZ_1b","b4_RZ_2b","b4_RZ_2c","b4_RZ_3a","b4_RZ_3b","b3_RT_1a","b3_RT_1b","b3_RT_2b","b3_RT_2c","b3_RT_3a","b4_RT_1a","b4_RT_1b","b4_RT_2b","b4_RT_2c","b4_RT_3a","b4_RT_3b"
"co_bin.37",0.0352024721092994,0.0598759810397776,0.0253731974170267,0.0218795454303695,0.0162546270451181,0.0141462422583642,0.00786077365998298,0.0122625958234689,0.0161220108389087,0.0106155168442301,0.0135542266965798,0.0147823675514165,0.00286161765726212,0,0.00127574275257216,0.00564082808221247,0.00132463517197943,0,0,0,0.00103041560619272,0.00117615391000825,0.00250699857044822
"ro_bin.38",0,0,0,0,0,0,0,0.00109099574713218,0.00215401749597829,0.00669049514829829,0,0,0.00525993307123894,0.0136521548148183,0.00655193538353815,0.0021318339715519,0.00869690147477146,0.00264254109547438,0.00223644321201681,0.00771031442655322,0.0147737410522481,0.012363956566458,0.0095457995943348
"ro_bin.4",0,0,0,0,0,0,0.00477243959624323,0.0115677726010356,0.0343999060986049,0.00335675493000009,0.00697720548682164,0.00366166584565925,0.00194191267397765,0,0.00712943844641864,0,0.0109629523286699,0.0136331848175819,0.0195022861938669,0.0587681311453287,0.0282040636022529,0.0318635612154794,0.0219787823310884
"co_bin.3",0,0,0.00442636703746788,0.0093088528655248,0.017794738268799,0.016075974454572,0.00179626364709932,0.0108028607890697,0.00473208383267828,0,0.00907527503239533,0.0107097216151475,0.00449395050785606,0.00566917977105251,0.0166265216007869,0.00878546182309015,0.01673187143748,0.00382999708903998,0.00422661238081538,0.00662308206334752,0.00251023581423365,0.00654887549091899,0.00639080515928059
"co_bin.51",0,0,0.0259790600210158,0.0195133840119306,0.0163428403271443,0.0132595802994343,0.0014122145603441,0.0120695770011133,0.00252928672005109,0,0.0100887398802012,0.00520681279198841,0.00281176666252999,0,0.00126524457552691,0.00435324754013023,0.00399826309712315,0.00286502301539893,0.00140711685531657,0.002330756327568,0.00204303017635597,0.00589208771826086,0.00132899399288574
"co_bin.16",0,0.00583245961835393,0.0189403829036871,0.00963084570294243,0.00898718623632704,0.0271003538970803,0.00914715775734695,0.0195122695215447,0.0140899379188538,0.016130919681372,0.0160213581299556,0.0287625040909152,0,0,0,0.0077447424887791,0,0.0019715865261415,0.00191708416247639,0.00676988140817562,0.0038656225326818,0.00353243687863642,0.00252236463619188
"co_bin.7",0,0,0.00924800012792209,0,0.0160032114086466,0.0177115502486604,0.009795707845848,0.0165612439716477,0.00545658042661153,0.0193201817895783,0.0257712902785986,0.0184339742881901,0,0,0,0,0,0.00263117719878473,0.00220798591616804,0,0.00234890043818278,0.00173080793147421,0.00150034925085774
"rh_bin.30",0.00941933281275163,0.017625683697041,0.0106693534477436,0.0158316656266607,0.0160438184923229,0.0120496248295725,0.00850761816835442,0.0186826246827134,0.00584722347571032,0,0.00412630262678921,0.00251024332534149,0,0,0,0.0033180565389899,0,0,0,0,0,0,0.00129938102476082
"rh_bin.21",0.0406692265927001,0.0187088082051662,0.0440738635731201,0.0603357232771452,0.0518214503570676,0.0341661952415012,0.0608864749651318,0.0569157116367513,0.0485368901548876,0.0307845911161189,0.0926964802264963,0.0556322427405014,0,0,0.00236944202595101,0.0144763727008446,0,0.00885564181640251,0.00143175017134029,0.00366026777973107,0.00684004502964302,0.00309861408994046,0.0128129649482106
"co_bin.14",0,0,0,0,0,0,0.00125994497491056,0,0,0,0,0,0.0282468994843194,0.0586949454018157,0.0324347264908074,0.0182560586446227,0.0170313529173682,0.0295828738467814,0.0191880084794807,0.0281595162278333,0.0439547727876827,0.0308645454941612,0.0322648130732652
